Plan,Keyword,Registrations,Recharges,Total Revenue ($),CVR (%)
A16,臺灣伺服器,11,1,32.56,9.1
A16,菲律宾 vps,11,0,0.0,0.0
A16,雲端 windows,11,3,34.9,27.3
A16,cloud computer,10,3,55.94,30.0
A16,hosting vps server,10,3,23.5,30.0
A16,vps hong kong,10,0,0.0,0.0
A16,日本服務器,10,2,30.45,20.0
A16,海外 云 桌面,10,3,76.9,30.0
A16,菲律賓伺服器,10,1,3.6,10.0
A16,虚拟 服务器,10,1,10.0,10.0
A16,雲 主機,10,0,0.0,0.0
A16,taiwan vps,9,0,0.0,0.0
A16,云 电脑 租用,9,1,18.9,11.1
A16,国外 云 服务器,9,0,0.0,0.0
A16,新加坡主機,9,0,0.0,0.0
A16,日本 服务器,9,2,76.9,22.2
A16,臺灣服務器,9,2,462.4,22.2
A16,cloud vps ssd,8,0,0.0,0.0
A16,cpu 服务器,8,2,114.15,25.0
A16,jp vps,8,1,18.9,12.5
A16,tiktok服务器,8,0,0.0,0.0
A16,vpn 服务器,8,1,19.0,12.5
A16,vps推荐,8,1,32.9,12.5
A16,台湾vps,8,1,1.9,12.5
A16,日本 vps,8,0,0.0,0.0
A16,海外 云 服务器,8,0,0.0,0.0
A16,游戏服务器,8,0,0.0,0.0
A16,美国 云 电脑,8,2,52.06,25.0
A16,美国服务器,8,0,0.0,0.0
A16,越南 vps,8,1,240.41,12.5
A16,越南 服务器,8,2,117.58,25.0
A16,vps 台灣,7,1,20.0,14.3
A16,windows 云 桌面,7,0,0.0,0.0
A16,云 服务器 推荐,7,0,0.0,0.0
A16,云 電腦,7,2,23.799999999999997,28.6
A16,免 实名 vps,7,0,0.0,0.0
A16,國外伺服器推薦,7,3,78.9,42.9
A16,租 遠 端 電腦,7,0,0.0,0.0
A16,美国 云 服务器,7,0,0.0,0.0
A16,香港 vps 服务器 推荐,7,1,5.0,14.3
A16,香港vps,7,2,43.9,28.6
A16,cloud company,6,1,12.9,16.7
A16,cloud software,6,0,0.0,0.0
A16,japan vps,6,1,12.9,16.7
A16,usdt 购买 服务器,6,2,61.0,33.3
A16,中转服务器,6,0,0.0,0.0
A16,伺服 器 租用,6,0,0.0,0.0
A16,便宜 windows vps,6,0,0.0,0.0
A16,匿名 vps,6,2,67.8,33.3
A16,台湾 便宜 vps,6,1,2.9,16.7
A16,搭 梯子 vps 推荐,6,1,125.43,16.7
A16,日本伺服器,6,2,107.6,33.3
A16,服务器 香港,6,0,0.0,0.0
A16,泰国 云 服务器,6,1,6.9,16.7
A16,节点 购买,6,0,0.0,0.0
A16,越南服务器,6,3,2197.9,50.0
A16,远程 服务器,6,3,84.80000000000001,50.0
A16,香港 云 服务器 推荐,6,2,78.47,33.3
A16,cloud host,5,0,0.0,0.0
A16,hongkong vps,5,0,0.0,0.0
A16,东南亚 vps,5,0,0.0,0.0
A16,东南亚 vps 推荐,5,0,0.0,0.0
A16,云 服务 商,5,0,0.0,0.0
A16,亿 速 云,5,0,0.0,0.0
A16,俄罗斯vps,5,3,212.9,60.0
A16,億速雲,5,2,262.16,40.0
A16,台湾 云 主机,5,0,0.0,0.0
A16,台灣 伺服 器,5,0,0.0,0.0
A16,境外服務器,5,0,0.0,0.0
A16,新加坡伺服器,5,3,3369.0,60.0
A16,马来西亚服务器,5,0,0.0,0.0
A16,hong kong server,4,0,0.0,0.0
A16,minecraft 伺服 器 託管,4,0,0.0,0.0
A16,tokyo vps,4,2,39.9,50.0
A16,usdt购买vps,4,0,0.0,0.0
A16,vps 台湾,4,0,0.0,0.0
A16,windows云电脑,4,0,0.0,0.0
A16,windows雲伺服器,4,0,0.0,0.0
A16,云 服务器 购买,4,1,10.8,25.0
A16,便宜雲伺服器,4,0,0.0,0.0
A16,印度 服务器,4,0,0.0,0.0
A16,台湾 vps 推荐,4,1,10.0,25.0
A16,台湾服务器,4,1,10.9,25.0
A16,国外 vps,4,1,20.9,25.0
A16,国外 服务器,4,0,0.0,0.0
A16,国外 服务器 推荐,4,1,16.3,25.0
A16,境外伺服器,4,4,3088.81,100.0
A16,好 用 的 vps,4,1,24.0,25.0
A16,新加坡 vps,4,0,0.0,0.0
A16,日本 vps 推荐,4,0,0.0,0.0
A16,泰国 vps 推荐,4,1,152.8,25.0
A16,美国 服务器 推荐,4,2,18.8,50.0
A16,美國服務器,4,2,24.799999999999997,50.0
A16,香港 服务器,4,1,10.0,25.0
A16,高 性能 vps,4,0,0.0,0.0
A16,cloud computing platform,3,1,6.9,33.3
A16,minecraft 伺服 器 推薦,3,0,0.0,0.0
A16,免 备案 服务器,3,0,0.0,0.0
A16,国外 服务器 租用,3,0,0.0,0.0
A16,推薦 伺服 器,3,0,0.0,0.0
A16,搭建 vpn 服务器 推荐,3,1,277.5,33.3
A16,泰国 vps tiktok,3,1,6.9,33.3
A16,游戏 云 电脑,3,0,0.0,0.0
A16,越南服務器,3,1,1840.0,33.3
A16,香港 云 服务 商,3,0,0.0,0.0
A16,香港云服务器,3,0,0.0,0.0
A16,香港伺服器租用,3,1,10.0,33.3
A16,香港雲服務器,3,0,0.0,0.0
A16,马来西亚 云 服务器,3,0,0.0,0.0
A16,cloud network solutions,2,1,20.9,50.0
A16,cloud pc windows,2,1,22.9,50.0
A16,tw vps,2,0,0.0,0.0
A16,vps 日本,2,0,0.0,0.0
A16,vps 租用,2,0,0.0,0.0
A16,vps 美国,2,1,33.79,50.0
A16,云 主机 搭建 vpn,2,0,0.0,0.0
A16,云 电脑 海外,2,0,0.0,0.0
A16,伺服器海外,2,0,0.0,0.0
A16,便宜雲服務器,2,0,0.0,0.0
A16,免 实名 云 服务器,2,0,0.0,0.0
A16,匿名 服务器,2,1,24.0,50.0
A16,台湾 原生 ip vps,2,0,0.0,0.0
A16,台灣 vps 推薦,2,0,0.0,0.0
A16,台灣 雲 服務器,2,1,159.97,50.0
A16,国内 vps,2,0,0.0,0.0
A16,国内 云 服务器,2,1,13.0,50.0
A16,境外 服务器,2,1,156.55,50.0
A16,性價比高的雲服務器,2,1,95.9,50.0
A16,支持 usdt 的 vps,2,0,0.0,0.0
A16,新加坡 云 服务器,2,0,0.0,0.0
A16,服务器 托管,2,1,9.9,50.0
A16,泰国 原生 vps,2,0,0.0,0.0
A16,洛杉矶服务器,2,1,12.9,50.0
A16,海外 云 主机,2,1,2.9,50.0
A16,澳门 vps,2,0,0.0,0.0
A16,美国 vps,2,0,0.0,0.0
A16,美国vps,2,0,0.0,0.0
A16,莱卡 云,2,0,0.0,0.0
A16,菲律宾 服务器,2,0,0.0,0.0
A16,雲伺服器價格,2,1,7.9,50.0
A16,雲端 伺服,2,0,0.0,0.0
A16,雲端 服務 供應 商,2,0,0.0,0.0
A16,雲端 運算 服務,2,0,0.0,0.0
A16,香港 服务器 购买,2,0,0.0,0.0
A16,香港伺服器購買,2,0,0.0,0.0
A16,香港輕量雲,2,0,0.0,0.0
A16,香港雲伺服器推薦,2,0,0.0,0.0
A16,马来西亚 vps,2,0,0.0,0.0
A16,cloud application,1,0,0.0,0.0
A16,cloud based services,1,0,0.0,0.0
A16,cloud server company,1,0,0.0,0.0
A16,cloud solutions and services,1,0,0.0,0.0
A16,cloud vps,1,0,0.0,0.0
A16,cpu 租用,1,0,0.0,0.0
A16,cpu算力租用,1,1,4.0,100.0
A16,lightnode,1,0,0.0,0.0
A16,mt4 vps,1,0,0.0,0.0
A16,taiwan vps hosting,1,0,0.0,0.0
A16,vps jp,1,0,0.0,0.0
A16,vps 台灣 推薦,1,0,0.0,0.0
A16,vps 搭建 vpn,1,0,0.0,0.0
A16,windows server vps,1,0,0.0,0.0
A16,不实名服务器,1,0,0.0,0.0
A16,中转服务器推荐,1,0,0.0,0.0
A16,乌克兰 服务器,1,0,0.0,0.0
A16,云 服务 提供 商,1,0,0.0,0.0
A16,云 服务器 搭建 vpn,1,0,0.0,0.0
A16,云 服务器 香港,1,0,0.0,0.0
A16,云 桌面 服务器,1,0,0.0,0.0
A16,俄罗斯服务器,1,0,0.0,0.0
A16,台湾 vps 购买,1,0,0.0,0.0
A16,台湾 云,1,0,0.0,0.0
A16,台湾 住宅 ip vps,1,0,0.0,0.0
A16,台湾服务器购买,1,0,0.0,0.0
A16,国外 云 电脑 推荐,1,1,10.9,100.0
A16,土耳其 服务器,1,0,0.0,0.0
A16,新加坡云主机,1,0,0.0,0.0
A16,新加坡服务器,1,0,0.0,0.0
A16,日本 vps 便宜,1,0,0.0,0.0
A16,日本 云 主机,1,0,0.0,0.0
A16,日本 机房 vps,1,0,0.0,0.0
A16,服务器 搭建 vpn,1,0,0.0,0.0
A16,服务器试用,1,0,0.0,0.0
A16,欧洲 vps,1,0,0.0,0.0
A16,海外 vps 推荐,1,0,0.0,0.0
A16,海外 服务器 购买,1,0,0.0,0.0
A16,海外伺服器租用,1,0,0.0,0.0
A16,澳大利亚 vps,1,0,0.0,0.0
A16,独立 服务器,1,0,0.0,0.0
A16,站群服务器,1,0,0.0,0.0
A16,网站 服务器,1,0,0.0,0.0
A16,美国 服务器 租用,1,0,0.0,0.0
A16,英国 服务器,1,0,0.0,0.0
A16,英國伺服器,1,0,0.0,0.0
A16,菲律宾 vps 推荐,1,0,0.0,0.0
A16,萤 光 云,1,0,0.0,0.0
A16,虛擬 主機 windows,1,0,0.0,0.0
A16,越南 vps 推荐,1,0,0.0,0.0
A16,越南 云 服务器,1,0,0.0,0.0
A16,越南伺服器,1,0,0.0,0.0
A16,輕量級雲伺服器,1,1,10836.06,100.0
A16,遠 端 電腦 出租,1,1,3427.6,100.0
A16,雲 服務,1,0,0.0,0.0
A16,雲 電腦 推薦,1,0,0.0,0.0
A16,雲 電腦 香港,1,0,0.0,0.0
A16,雲伺服器香港,1,0,0.0,0.0
A16,雲端 服務器,1,0,0.0,0.0
A16,雲端 電腦 玩 遊戲,1,0,0.0,0.0
A16,雲端 電腦 租用,1,0,0.0,0.0
A16,香港 vps 便宜,1,0,0.0,0.0
A16,香港 免 实名 服务器,1,0,0.0,0.0
A16,香港 大 带宽 vps,1,0,0.0,0.0
A16,香港 服务器 usdt,1,1,6.9,100.0
A16,香港 机房,1,0,0.0,0.0
A16,香港主机,1,0,0.0,0.0
A16,香港云服务器 免备案,1,1,50.0,100.0
A16,香港大带宽服务器,1,0,0.0,0.0
A16,香港高速服务器,1,0,0.0,0.0
A16,馬來西亞伺服器,1,1,8.1,100.0
A20,surfercloud,1250,306,40075.01,24.5
A20,surfer cloud,202,55,1590.26,27.2
A20,surfercloud vps,46,10,178.6,21.7
A20,surfercloud login,35,1,11.7,2.9
A20,冲浪云,23,2,11.9,8.7
A20,surfer cloud free trial,10,0,0.0,0.0
A20,surfer cloud vps,8,1,9.9,12.5
A20,surfercloud测评,3,1,9.9,33.3
A20,scloud pte ltd,1,0,0.0,0.0
C01,digitalocean,138,15,59.4,10.9
C01,hosted,116,20,94.69999999999999,17.2
C01,servers,113,11,150.20000000000002,9.7
C01,vultr,111,16,87.5,14.4
C01,vpsserver,85,9,78.2,10.6
C01,hostinger,58,4,60.699999999999996,6.9
C01,amazon web services,52,4,40.8,7.7
C01,linode,50,5,26.9,10.0
C01,contabo,46,9,50.050000000000004,19.6
C01,kamatera,43,8,78.4,18.6
C01,upcloud,40,5,58.01,12.5
C01,ovh,30,4,16.7,13.3
C01,alibaba cloud,27,2,5.8,7.4
C01,ionos,27,4,29.1,14.8
C01,azure cloud,22,2,6.9,9.1
C01,nube cloud,22,0,0.0,0.0
C01,aws cloud,19,3,9039.49,15.8
C01,racknerd,19,3,14.7,15.8
C01,warez vps,19,8,10.9,42.1
C01,hetzner,17,3,20.7,17.6
C01,scalahosting,17,5,33.8,29.4
C01,scaleway,17,2,4.0,11.8
C01,cloud aws,16,0,0.0,0.0
C01,greencloudvps,14,0,0.0,0.0
C01,ovhcloud,14,3,45.8,21.4
C01,webcloud,11,2,16.8,18.2
C01,ssd nodes,10,0,0.0,0.0
C01,a2 hosting,9,4,18.6,44.4
C01,kinsta,9,2,16.8,22.2
C01,microsoft cloud server,9,0,0.0,0.0
C01,siteground,9,1,2.9,11.1
C01,time4vps,8,4,86.7,50.0
C01,vpsuniverse,8,1,3.9,12.5
C01,claw.cloud,7,1,10.0,14.3
C01,cloudcone,7,2,33.9,28.6
C01,exabytes,7,0,0.0,0.0
C01,lightnode,7,1,2.9,14.3
C01,顺 网 云 电脑,6,0,0.0,0.0
C01,cloudflare,5,0,0.0,0.0
C01,cloudways,5,0,0.0,0.0
C01,runpod,5,0,0.0,0.0
C01,virmach,5,2,27.9,40.0
C01,alphavps,4,1,5.8,25.0
C01,dreamhost,4,1,1.0,25.0
C01,intensehost,4,2,33.9,50.0
C01,interserver,4,0,0.0,0.0
C01,leaseweb,4,0,0.0,0.0
C01,vpsandserver,4,1,35.0,25.0
C01,alexhost,3,1,2.9,33.3
C01,cloudfanatic,3,0,0.0,0.0
C01,hostgator,3,1,1.0,33.3
C01,hostkey,3,0,0.0,0.0
C01,lazer hosting,3,0,0.0,0.0
C01,netcup,3,0,0.0,0.0
C01,stealthrdp,3,3,15.9,100.0
C01,vps-mart,3,0,0.0,0.0
C01,vpsdime,3,0,0.0,0.0
C01,warez-host,3,1,1.0,33.3
C01,webhost.sh,3,0,0.0,0.0
C01,arubacloud,2,0,0.0,0.0
C01,bluehost,2,0,0.0,0.0
C01,cloud computing microsoft,2,0,0.0,0.0
C01,hostarmada,2,1,3.9,50.0
C01,hostvds,2,0,0.0,0.0
C01,hostwinds,2,1,10.0,50.0
C01,hyonix,2,0,0.0,0.0
C01,liquid web,2,0,0.0,0.0
C01,navicosoft,2,1,3.9,50.0
C01,storm server hosting,2,0,0.0,0.0
C01,surfcloud,2,1,18.9,50.0
C01,bandwagonhost,1,0,0.0,0.0
C01,chemicloud,1,0,0.0,0.0
C01,databasemart,1,0,0.0,0.0
C01,devrdp,1,0,0.0,0.0
C01,everleap,1,0,0.0,0.0
C01,hostinger vps,1,0,0.0,0.0
C01,idcloudhost,1,0,0.0,0.0
C01,ishosting,1,1,10.0,100.0
C01,namehero,1,0,0.0,0.0
C01,owncloud,1,0,0.0,0.0
C01,peramix,1,0,0.0,0.0
C01,quantvps,1,0,0.0,0.0
C01,rackspace,1,0,0.0,0.0
C01,roost hosting,1,0,0.0,0.0
C01,serverhost,1,0,0.0,0.0
C01,serverpoint,1,0,0.0,0.0
C01,serverwala,1,0,0.0,0.0
C01,silverhostingnetwork,1,0,0.0,0.0
C01,skycloud,1,0,0.0,0.0
C01,ssdnodes,1,0,0.0,0.0
C01,tempest hosting,1,1,1.0,100.0
C01,truehost,1,0,0.0,0.0
C01,viperhost,1,1,100.0,100.0
C01,vps windows,1,1,9.9,100.0
C01,恒 创 科技,1,0,0.0,0.0
D06,display,1571,293,3503.25,18.7
D07,display,2218,60,1492.27,2.7
D15,display,2429,30,149.82,1.2
D23,pmax,9538,948,38957.659999999996,9.9
D23,display,4144,258,19021.91,6.2
D24,pmax,3365,274,34377.83,8.1
D24,display,2,0,0.0,0.0
D31,display,1419,33,436.01,2.3
D60,pmax,2134,443,3398.16,20.8
